locations_mentioned	filename
Cleveland, Ohio	104-10069-10120
Clinton, Maryland	104-10106-10300
Cochinos Bay	104-10228-10083
Coco Solo	104-10215-10004
Coconut Grove Bank	104-10229-10002
Coliseo	104-10179-10088
Coliseo	104-10180-10062
Cologne	104-10005-10321
Colombia	104-10048-10252
Colombia	104-10070-10272
Colombia	104-10073-10101
Colombia	104-10170-10051
Colombia	104-10183-10346
Colombia	104-10192-10110
Colombia	104-10227-10153
Colombia	104-10230-10153
Colombia	104-10262-10385
Colombia	124-10326-10149
Colombia	124-90139-10002
Colombia	176-10036-10058
Colombia	177-10001-10305
Colombia	178-10003-10001
Colombia	198-10004-10207
Colombia	198-10005-10018
Colombia	198-10007-10021
Colombia	198-10007-10022
Colombia	198-10008-10119
Colombia	198-10009-10098
Colombia	198-10009-10099
Colombia	202-10001-10203
Colombo	104-10007-10345
Colombo	104-10009-10021
Colombo	104-10012-10076
Colombo	104-10186-10008
Colombo	104-10209-10164
Colombo	104-10418-10439
Colon	202-10001-10203
Colon Free Zone	198-10004-10207
Colonias	104-10413-10053
Columbia	104-10215-10128
Columbia Road, Washington, D.C.	104-10114-10162
Columbia University	104-10209-10259
Columbia University	104-10437-10079
Columbus, Georgia	104-10131-10099
Columbus, Georgia	104-10175-10179
Columbus, Ohio	104-10166-10158
Communist China	104-10213-10209
Communist China	124-10212-10337
Communist China	177-10002-10070
Conakry	104-10007-10345
Conakry	119-10021-10413
Conakry	198-10004-10207
Conakry	198-10007-10013
Conakry	198-10007-10021
Conakry	198-10009-10098
Conarky	104-10186-10008
Congo	104-10072-10227
Congo	104-10101-10239
Congo	104-10104-10094
Congo	104-10182-10073
Congo	104-10217-10228
Congo	104-10290-10190
Congo	104-10332-10020
Congo	157-10002-10105
Congo	176-10011-10152
Congo	176-10036-10023
Congo	177-10002-10096
Congo	177-10002-10097
Congo	177-10002-10101
Connecticut	104-10170-10125
Connecticut	104-10263-10111
Connecticut	157-10011-10048
Consolacion del Sur	104-10073-10101
Constantinople	104-10176-10015
Copenhagen	104-10005-10321
Copenhagen	104-10007-10345
Copenhagen	104-10009-10021
Copenhagen	104-10012-10076
Copenhagen	104-10014-10051
Copenhagen	104-10071-10139
Copenhagen	104-10169-10139
Copenhagen	104-10178-10130
Copenhagen	104-10178-10136
Copenhagen	104-10186-10008
Copenhagen	104-10209-10164
Copenhagen	104-10295-10001
Copenhagen	104-10322-10056
Copenhagen	104-10326-10055
Copenhagen	104-10332-10020
Copenhagen	104-10418-10439
Coral Gables	104-10119-10183
Coral Gables	157-10011-10083
Coral Gables	178-10002-10215
Coral Gables	178-10002-10279
Coral Gables, Florida	104-10130-10472
Coral Gables, Florida	104-10165-10084
Coral Gables, Florida	124-90130-10005
Cordillera of the Andes	177-10001-10305
Cordoba	104-10170-10064
Cordoba	104-10186-10008
Corpus Christi	104-10100-10237
Corpus Christi	104-10529-10367
Corralillo	104-10171-10020
Corralillo	104-10171-10034
Corsica	104-10185-10009
Corsica	104-10185-10030
Corsica	124-90092-10016
Costa Rica	104-10095-10161
Costa Rica	104-10114-10042
Costa Rica	104-10170-10051
Costa Rica	104-10177-10217
Costa Rica	104-10177-10225
Costa Rica	104-10179-10182
Costa Rica	104-10179-10195
Costa Rica	104-10192-10110
Costa Rica	104-10215-10004
Costa Rica	104-10215-10128
Costa Rica	104-10229-10097
Costa Rica	104-10230-10153
Costa Rica	104-10230-10153
Costa Rica	104-10275-10176
Costa Rica	104-10308-10044
Costa Rica	104-10338-10018
Costa Rica	119-10021-10413
Costa Rica	124-90124-10055
Costa Rica	177-10001-10305
Costa Rica	177-10002-10070
Costa Rica	198-10004-10207
Costa Rica	198-10007-10013
Costa Rica	198-10007-10021
Costa Rica	198-10007-10022
Costa Rica	198-10008-10119
Costa Rica	198-10009-10098
Costa Rica	202-10001-10203
Cotorro	104-10103-10112
Cuautla 131	104-10413-10053
Cuba	104-10012-10022
Cuba	104-10048-10124
Cuba	104-10048-10252
Cuba	104-10049-10362
Cuba	104-10061-10053
Cuba	104-10066-10076
Cuba	104-10068-10172
Cuba	104-10069-10112
Cuba	104-10069-10120
Cuba	104-10070-10079
Cuba	104-10070-10272
Cuba	104-10072-10228
Cuba	104-10072-10289
Cuba	104-10073-10101
Cuba	104-10074-10413
Cuba	104-10075-10099
Cuba	104-10075-10232
Cuba	104-10075-10250
Cuba	104-10075-10365
Cuba	104-10076-10371
Cuba	104-10076-10372
Cuba	104-10076-10374
Cuba	104-10076-10375
Cuba	104-10076-10400
Cuba	104-10076-10442
Cuba	104-10077-10153
Cuba	104-10093-10109
Cuba	104-10093-10266
Cuba	104-10095-10161
Cuba	104-10095-10276
Cuba	104-10097-10360
Cuba	104-10098-10401
Cuba	104-10098-10404
Cuba	104-10100-10034
Cuba	104-10100-10087
Cuba	104-10100-10192
Cuba	104-10100-10251
Cuba	104-10100-10357
Cuba	104-10100-10424
Cuba	104-10101-10175
Cuba	104-10101-10227
Cuba	104-10102-10224
Cuba	104-10102-10237
Cuba	104-10103-10079
Cuba	104-10103-10112
Cuba	104-10104-10271
Cuba	104-10105-10271
Cuba	104-10110-10433
Cuba	104-10114-10152
Cuba	104-10114-10161
Cuba	104-10114-10162
Cuba	104-10117-10203
Cuba	104-10160-10207
Cuba	104-10162-10107
Cuba	104-10162-10108
Cuba	104-10162-10121
Cuba	104-10163-10065
Cuba	104-10163-10136
Cuba	104-10164-10050
Cuba	104-10165-10004
Cuba	104-10165-10084
Cuba	104-10167-10083
Cuba	104-10167-10127
Cuba	104-10167-10297
Cuba	104-10167-10375
Cuba	104-10169-10017
Cuba	104-10169-10265
Cuba	104-10169-10271
Cuba	104-10170-10064
Cuba	104-10170-10091
Cuba	104-10170-10112
Cuba	104-10170-10121
Cuba	104-10170-10125
Cuba	104-10171-10003
Cuba	104-10171-10018
Cuba	104-10171-10020
Cuba	104-10171-10021
Cuba	104-10171-10033
Cuba	104-10171-10047
Cuba	104-10171-10093
Cuba	104-10171-10097
Cuba	104-10171-10106
Cuba	104-10171-10220
Cuba	104-10172-10041
Cuba	104-10172-10062
Cuba	104-10172-10105
Cuba	104-10172-10112
Cuba	104-10172-10137
Cuba	104-10173-10135
Cuba	104-10173-10166
Cuba	104-10174-10036
Cuba	104-10174-10037
Cuba	104-10174-10038
Cuba	104-10174-10043
Cuba	104-10174-10072
Cuba	104-10177-10206
Cuba	104-10177-10217
Cuba	104-10178-10054
Cuba	104-10178-10334
Cuba	104-10179-10022
Cuba	104-10179-10025
Cuba	104-10179-10104
Cuba	104-10179-10113
Cuba	104-10179-10134
Cuba	104-10179-10136
Cuba	104-10179-10182
Cuba	104-10180-10042
Cuba	104-10180-10044
Cuba	104-10180-10050
Cuba	104-10180-10162
Cuba	104-10180-10179
Cuba	104-10180-10180
Cuba	104-10180-10200
Cuba	104-10181-10099
Cuba	104-10181-10117
Cuba	104-10183-10139
Cuba	104-10183-10232
Cuba	104-10183-10259
Cuba	104-10183-10260
Cuba	104-10183-10276
Cuba	104-10183-10325
Cuba	104-10183-10346
Cuba	104-10185-10105
Cuba	104-10185-10110
Cuba	104-10185-10117
Cuba	104-10185-10128
Cuba	104-10185-10315
Cuba	104-10186-10088
Cuba	104-10186-10099
Cuba	104-10186-10235
Cuba	104-10186-10264
Cuba	104-10186-10269
Cuba	104-10186-10308
Cuba	104-10186-10309
Cuba	104-10187-10030
Cuba	104-10187-10103
Cuba	104-10187-10109
Cuba	104-10187-10110
Cuba	104-10187-10111
Cuba	104-10187-10113
Cuba	104-10187-10117
Cuba	104-10187-10146
Cuba	104-10187-10147
Cuba	104-10188-10454
Cuba	104-10192-10154
Cuba	104-10192-10229
Cuba	104-10192-10266
Cuba	104-10192-10284
Cuba	104-10193-10016
Cuba	104-10213-10002
Cuba	104-10215-10003
Cuba	104-10215-10004
Cuba	104-10215-10035
Cuba	104-10215-10128
Cuba	104-10215-10200
Cuba	104-10216-10073
Cuba	104-10216-10075
Cuba	104-10216-10238
Cuba	104-10216-10398
Cuba	104-10217-10185
Cuba	104-10219-10283
Cuba	104-10220-10069
Cuba	104-10220-10293
Cuba	104-10221-10222
Cuba	104-10221-10310
Cuba	104-10222-10001
Cuba	104-10226-10011
Cuba	104-10226-10045
Cuba	104-10226-10090
Cuba	104-10227-10121
Cuba	104-10227-10150
Cuba	104-10227-10153
Cuba	104-10227-10271
Cuba	104-10228-10045
Cuba	104-10228-10083
Cuba	104-10228-10419
Cuba	104-10229-10002
Cuba	104-10230-10153
Cuba	104-10232-10004
Cuba	104-10232-10018
Cuba	104-10232-10019
Cuba	104-10234-10007
Cuba	104-10234-10050
Cuba	104-10234-10083
Cuba	104-10234-10102
Cuba	104-10234-10141
Cuba	104-10234-10148
Cuba	104-10236-10053
Cuba	104-10236-10054
Cuba	104-10236-10056
Cuba	104-10236-10075
Cuba	104-10237-10120
Cuba	104-10241-10249
Cuba	104-10241-10250
Cuba	104-10245-10007
Cuba	104-10247-10064
Cuba	104-10247-10097
Cuba	104-10265-10118
Cuba	104-10269-10079
Cuba	104-10275-10176
Cuba	104-10290-10168
Cuba	104-10290-10190
Cuba	104-10290-10309
Cuba	104-10298-10095
Cuba	104-10298-10184
Cuba	104-10301-10008
Cuba	104-10301-10010
Cuba	104-10302-10020
Cuba	104-10302-10030
Cuba	104-10303-10003
Cuba	104-10306-10010
Cuba	104-10306-10011
Cuba	104-10306-10016
Cuba	104-10306-10018
Cuba	104-10306-10020
Cuba	104-10307-10024
Cuba	104-10308-10023
Cuba	104-10308-10029
Cuba	104-10308-10044
Cuba	104-10308-10053
Cuba	104-10308-10054
Cuba	104-10308-10062
Cuba	104-10308-10163
Cuba	104-10308-10165
Cuba	104-10308-10168
Cuba	104-10308-10208
Cuba	104-10310-10020
Cuba	104-10338-10018
Cuba	104-10431-10091
Cuba	104-10433-10212
Cuba	104-10506-10028
Cuba	104-10512-10110
Cuba	104-10516-10103
Cuba	104-10516-10270
Cuba	104-10527-10212
Cuba	104-10527-10424
Cuba	104-10528-10053
Cuba	104-10529-10323
Cuba	119-10021-10413
Cuba	124-10058-10420
Cuba	124-10181-10009
Cuba	124-10213-10483
Cuba	124-10225-10195
Cuba	124-10279-10258
Cuba	124-10280-10030
Cuba	124-10284-10172
Cuba	124-10285-10254
Cuba	124-10291-10236
Cuba	124-10291-10319
Cuba	124-10300-10024
Cuba	124-10325-10318
Cuba	124-10326-10149
Cuba	124-10326-10191
Cuba	124-10332-10018
Cuba	124-90135-10074
Cuba	124-90137-10067
Cuba	124-90137-10230
Cuba	124-90137-10284
Cuba	124-90137-10467
Cuba	124-90137-10468
Cuba	124-90138-10004
Cuba	124-90138-10007
Cuba	124-90138-10066
Cuba	124-90138-10073
Cuba	124-90139-10050
Cuba	124-90139-10070
Cuba	124-90139-10071
Cuba	124-90139-10138
Cuba	124-90140-10004
Cuba	124-90140-10005
Cuba	124-90140-10012
Cuba	157-10002-10056
Cuba	157-10002-10106
Cuba	157-10002-10165
Cuba	157-10004-10095
Cuba	157-10011-10083
Cuba	157-10014-10109
Cuba	157-10014-10242
Cuba	176-10011-10152
Cuba	176-10030-10422
Cuba	176-10033-10145
Cuba	176-10036-10027
Cuba	176-10036-10058
Cuba	176-10037-10440
Cuba	177-10001-10305
Cuba	177-10001-10445
Cuba	177-10002-10012
Cuba	177-10002-10016
Cuba	177-10002-10070
Cuba	177-10002-10096
Cuba	177-10002-10098
Cuba	177-10002-10102
Cuba	177-10002-10103
Cuba	178-10002-10215
Cuba	178-10002-10279
Cuba	178-10003-10001
Cuba	178-10004-10053
Cuba	178-10004-10054
Cuba	180-10110-10100
Cuba	194-10012-10030
Cuba	198-10004-10076
Cuba	198-10005-10017
Cuba	198-10005-10018
Cuba	198-10007-10013
Cuba	198-10007-10021
Cuba	198-10007-10022
Cuba	198-10008-10119
Cuba	198-10009-10098
Cuba	198-10009-10099
Cuba	202-10001-10203
Cuba	202-10002-10124
Cuban Embassy	104-10326-10087
Cuban Embassy	180-10110-10100
Cuban Legation in Iraq	104-10163-10019
Cuernavaca	104-10172-10107
Cumaná	104-10048-10252
Cura	104-10529-10323
Curacao	119-10021-10413
Curacao	198-10007-10013
Curacao	198-10007-10021
Curacao	198-10008-10119
Curacao	198-10009-10099
Cusco	176-10036-10058
Cuzco Valley	176-10036-10065
Cuzco Valley	177-10002-10016
Cxadoxas	104-10178-10136
Cyprus	104-10302-10030
Cyprus	104-10306-10011
Cyprus	176-10030-10422
Czech Embassy	104-10413-10053
Czechoslovakia	104-10070-10079
Czechoslovakia	104-10215-10035
Czechoslovakia	124-10325-10318
Czechoslovakia	180-10143-10227
DALLAS	104-10209-10025
DAMA	104-10510-10090
DARE	104-10510-10090
DETROIT	104-10527-10424
DIAR	104-10290-10155
DJAK	104-10510-10090
DKAR	104-10510-10090
Da Lat	104-10069-10132
Da Nang	176-10036-10098
Dacca	104-10012-10076
Dade County	124-10284-10172
Dahlem	124-90092-10002
Dakar	104-10007-10345
Dakar	104-10012-10076
Dakar	104-10107-10135
Dakar	104-10107-10137
Dakar	104-10119-10040
Dakar	104-10186-10008
Dakar	104-10332-10020
Dalat	176-10036-10102
Dalat	176-10036-10104
Dallas	104-10012-10035
Dallas	104-10097-10170
Dallas	104-10179-10182
Dallas	104-10275-10176
Dallas	104-10413-10306
Dallas	104-10431-10102
Dallas	104-10506-10028
Dallas	124-10114-10010
Dallas	124-10181-10009
Dallas, Texas	104-10177-10220
Dallas, Texas	104-10216-10073
Dallas, Texas	104-10217-10000
Dallas, Texas	124-10150-10104
Dallas, Texas	124-10237-10009
Damascus	104-10007-10345
Damascus	104-10012-10024
Damascus	177-10002-10098
Damascus	177-10002-10103
Dar Es Salaam	104-10186-10008
Dar-es-Salaam	104-10007-10345
Dartmouth University	104-10064-10012
David, Panama	104-10172-10001
Delhi	104-10119-10247
Delhi	124-10279-10209
Denmark	104-10014-10051
Denmark	104-10164-10032
Denmark	104-10326-10055
Denver	104-10051-10106
Denver	104-10119-10247
Denver	104-10130-10472
Detroit	124-90092-10001
Dhahran	104-10209-10259
Dhahran, Saudi Arabia	104-10051-10106
Dhahran, Saudi Arabia	104-10132-10092
Dhahran, Saudi Arabia	104-10133-10437
Dhahran, Saudi Arabia	104-10300-10124
Dhahran, Saudi Arabia	104-10418-10378
Dhahran, Saudi Arabia	104-10437-10079
District of Columbia	104-10116-10261
District of Columbia	104-10117-10203
District of Columbia	104-10122-10307
Djakarta	104-10007-10345
Djakarta	104-10009-10021
Djakarta	104-10186-10008
Djakarta	104-10216-10046
Djakarta	104-10418-10439
Djakarta	176-10036-10116
Djakarta	177-10002-10098
Djakarta	177-10002-10102
Do agirak	104-10012-10076
Dolors City	104-10100-10396
Dominican Republic	104-10048-10124
Dominican Republic	104-10049-10362
Dominican Republic	104-10049-10375
Dominican Republic	104-10061-10053
Dominican Republic	104-10106-10325
Dominican Republic	104-10167-10083
Dominican Republic	104-10167-10190
Dominican Republic	104-10170-10059
Dominican Republic	104-10177-10217
Dominican Republic	104-10178-10334
Dominican Republic	104-10182-10137
Dominican Republic	104-10183-10276
Dominican Republic	104-10186-10099
Dominican Republic	104-10186-10309
Dominican Republic	104-10192-10110
Dominican Republic	104-10216-10075
Dominican Republic	104-10227-10153
Dominican Republic	104-10263-10111
Dominican Republic	104-10265-10118
Dominican Republic	104-10265-10141
Dominican Republic	104-10302-10020
Dominican Republic	104-10302-10030
Dominican Republic	104-10308-10086
Dominican Republic	124-10279-10258
Dominican Republic	124-90124-10092
Dominican Republic	157-10002-10165
Dominican Republic	177-10001-10305
Dominican Republic	198-10007-10022
Dominican Republic	198-10009-10099
Dunbarton College of Holy Cross	104-10071-10060
Dunbarton College of Holy Cross, 2935 Upton Street N.W., Washington, D. C	104-10063-10206
Dundee	177-10002-10103
EGLIN	104-10215-10139
EGLIN	104-10267-10196
EMBASSY	104-10101-10215
ENFUEGOS	104-10172-10137
ENGLAND	104-10179-10121
ENGLAND	176-10036-10052
ENGLAND, LONDON	176-10036-10051
EOS	104-10077-10382
ESCAMBRAY	104-10169-10265
EUROPE	104-10234-10069
East Africa	177-10002-10102
East Berlin	157-10002-10105
East Germany	104-10069-10132
East Germany	197-10002-10190
Eastern SOUGE District (Oriente)	104-10308-10269
Ecuador	104-10048-10252
Ecuador	104-10170-10051
Ecuador	104-10170-10064
Ecuador	104-10192-10110
Ecuador	104-10216-10073
Ecuador	104-10227-10153
Ecuador	104-10230-10153
Ecuador	176-10036-10058
Ecuador	176-10036-10065
Ecuador	177-10001-10305
Ecuador	177-10002-10016
Ecuador	177-10002-10103
Ecuador	198-10004-10207
Ecuador	198-10007-10013
Ecuador	198-10007-10021
Ecuador	198-10007-10022
Ecuador	198-10008-10119
Ecuador	198-10009-10098
Ecuador	198-10009-10099
Ecuador	202-10001-10203
Edificio FOCSA	104-10180-10178
Eglin Air Force Base, Florida	104-10066-10076
Egypt	177-10002-10096
Egypt	177-10002-10097
El Chamizal	177-10002-10070
El Cotorro	104-10308-10168
El Paso	124-90092-10001
El Paso	177-10002-10069
El Paso	177-10002-10070
El Paso, Texas	104-10175-10179
El Salvador	104-10072-10001
El Salvador	104-10073-10061
El Salvador	104-10119-10040
El Salvador	104-10165-10084
El Salvador	104-10180-10044
El Salvador	104-10183-10260
El Salvador	104-10183-10276
El Salvador	104-10187-10103
El Salvador	104-10187-10110
El Salvador	104-10188-10454
El Salvador	104-10192-10110
El Salvador	104-10235-10018
El Salvador	104-10338-10018
El Salvador	177-10001-10305
El Salvador	198-10007-10013
El Salvador	198-10007-10021
El Salvador	198-10007-10022
El Salvador	198-10008-10119
En Crusijada	104-10171-10020
England	104-10103-10079
England	104-10106-10325
England	104-10107-10089
England	104-10107-10135
England	104-10169-10282
England	104-10172-10112
England	104-10179-10122
England	104-10192-10284
England	104-10227-10003
England	104-10307-10024
England	104-10431-10102
England	124-10212-10337
England	124-10291-10236
England	124-10325-10318
England	124-90137-10284
England	176-10036-10104
England	194-10012-10030
Englend	104-10114-10152
Englewood, New Jersey	104-10106-10716
Esbana	198-10007-10021
Escambray	104-10070-10079
Escambray	104-10169-10271
Escambray	104-10226-10011
Escambray	104-10227-10150
Escambray	104-10232-10004
Escambray	104-10236-10056
Escambray	104-10308-10269
Escambray Mountains	104-10171-10039
Escambray Mountains	202-10001-10203
Escambrey	104-10232-10018
Eschborn	104-10169-10139
Ethiopia	104-10433-10209
Ethiopia	177-10002-10097
Eugene, Oregon	124-10273-10104
Europe	104-10052-10130
Europe	104-10106-10325
Europe	104-10166-10158
Europe	104-10170-10121
Europe	104-10171-10138
Europe	104-10173-10104
Europe	104-10177-10206
Europe	104-10177-10220
Europe	104-10179-10134
Europe	104-10182-10073
Europe	104-10183-10022
Europe	104-10183-10239
Europe	104-10192-10110
Europe	104-10291-10003
Europe	104-10306-10016
Europe	104-10332-10020
Europe	124-10280-10030
Europe	124-10326-10098
Europe	124-90037-10081
Europe	124-90092-10016
Europe	157-10002-10105
Europe	157-10002-10106
Europe	157-10011-10083
Europe	157-10014-10109
Europe	178-10002-10091
Europe	178-10002-10215
Europe	178-10002-10279
Europe	198-10007-10029
Europe	198-10009-10099
FAIRFAX, VIRGINIA	157-10011-10083
FIRAR DEL RIO	104-10172-10059
FITTIPE	104-10290-10219
FLORIDA	104-10290-10055
FORT LAUDERDALE	104-10179-10209
FORT WORTH	104-10209-10025
FPAN	104-10510-10090
FRAN	104-10290-10155
FRAN	104-10527-10212
FRANCE	104-10226-10087
FRANCE	104-10516-10348
FRANCE	104-10527-10277
FRANKFURT	104-10072-10034
FRANKFURT	104-10178-10124
FRANKFURT	104-10234-10124
FROB	104-10234-10124
FROB	104-10527-10212
Fagota	104-10012-10076
Fairfax County, Virginia	124-90060-10015
Falls Church, Va	104-10114-10160
Falls Church, Va.	104-10121-10191
Falls Church, Virginia	104-10114-10162
Falls Church, Virginia	104-10161-10321
Falls Church, Virginia	104-10173-10132
Falls Church, Virginia	104-10175-10179
Far East	104-10059-10099
Far East	104-10123-10219
Far East	104-10172-10001
Far East	104-10210-10020
Far East	124-10279-10209
Far East Asian countries	104-10105-10271
Feiping, China	104-10173-10134
Fenocal Avenue	104-10180-10215
Fershing Hts	104-10219-10143
Fincas La Puntilla	104-10308-10127
Finland	104-10004-10143 (C06932208)
Finland	104-10004-10143
Finland	104-10004-10156
Finland	104-10172-10279
Finland	104-10290-10190
Fla	104-10179-10088
Florence	104-10185-10009
Florence	104-10185-10030
Florida	104-10073-10101
Florida	104-10120-10273
Florida	104-10162-10247
Florida	104-10182-10137
Florida	104-10183-10384
Florida	104-10245-10000
Florida	124-10326-10149
Florida Keys	124-10332-10047
Florida Straits	202-10002-10124
Flushing, N. Y.	124-10273-10104
Forest Hills	104-10183-10232
Fort Antonio	104-10165-10004
Fort Benning, Georgia	104-10183-10346
Fort Bragg	104-10310-10020
Fort Campbell	104-10165-10004
Fort George G. Meade, Maryland	104-10166-10158
Fort Hood, Texas	104-10172-10278
Fort Hunt, Washington, D. C.	104-10175-10179
Fort Lauderdale	104-10308-10029
Fort Lauderdale, Florida	124-10332-10047
Fort Leavenworth, Kansas	104-10175-10179
Fort Riley, Kansas	104-10175-10179
Fort au France	198-10004-10207
Fort au France	198-10009-10098
Fortaleza de la Cabaña	104-10171-10047
Forte Alegre	104-10012-10076
France	104-10005-10321
France	104-10012-10022
France	104-10061-10053
France	104-10074-10007
France	104-10098-10401
France	104-10103-10079
France	104-10105-10271
France	104-10169-10282
France	104-10181-10099
France	104-10183-10232
France	104-10216-10199
France	104-10219-10143
France	104-10290-10190
France	104-10307-10024
France	104-10310-10020
France	104-10431-10091
France	124-10212-10337
France	124-10284-10155
France	124-10325-10318
France	124-10326-10098
France	176-10036-10104
France	177-10002-10092
France	180-10143-10227
France	202-10001-10203
Franconia	104-10110-10242
Franconia	104-10110-10243
Franconia	104-10216-10234
Franconia Depot	104-10110-10245
Frankfurt	104-10005-10321
Frankfurt	104-10007-10345
Frankfurt	104-10012-10076
Frankfurt	104-10071-10139
Frankfurt	104-10077-10076
Frankfurt	104-10106-10300
Frankfurt	104-10106-10325
Frankfurt	104-10169-10139
Frankfurt	104-10171-10138
Frankfurt	104-10177-10219
Frankfurt	104-10178-10130
Frankfurt	104-10178-10136
Frankfurt	104-10183-10233
Frankfurt	104-10183-10333
Frankfurt	104-10234-10115
Frankfurt	104-10322-10056
Frankfurt	104-10529-10323
Frankfurt	124-90092-10016
Frankfurt, Germany	104-10113-10030
Freetown	104-10007-10345
Freetown	104-10012-10076
French Caribbean	198-10009-10098
Ft. Lauderdale, Florida	104-10161-10144
Ft. Lauderdale, Florida	124-10221-10229
Fuerte Rico	104-10179-10136
GARY, INDIANA	104-10177-10047
GENEVA	104-10072-10034
GENEVA	104-10183-10044
GENEVA	104-10183-10240
GENEVA	104-10517-10120
GENEVA	104-10517-10121
GEORGETOWN	104-10072-10034
GERMANY	104-10234-10124
GNVA	104-10527-10212
GOMEL	104-10162-10247
GUANTANAMO, CUBA	104-10076-10295
GUAT	104-10187-10149
GUAT	104-10510-10090
GUATEMALA	104-10290-10055
GUATEMALA CITY	104-10072-10034
GUATEMALA CITY	104-10187-10149
GUAYAQUIL	104-10072-10034
GUERRERO	124-10279-10020
GUIRA DE MELENA, GAZANA, CUBA	104-10290-10038
GUIRA DE MELENA, HABANA, CUBA	104-10101-10109
Galera	104-10102-10237
Ganda	104-10527-10424
Ganuza	104-10193-10016
Gdansk, Poland	124-90137-10357
Geneva	104-10009-10021
Geneva	104-10071-10139
Geneva	104-10088-10074
Geneva	104-10106-10300
Geneva	104-10106-10716
Geneva	104-10107-10137
Geneva	104-10178-10130
Geneva	104-10178-10136
Geneva	104-10183-10239
Geneva	104-10186-10008
Geneva	104-10209-10164
Geneva	104-10210-10020
Geneva	104-10213-10202
Geneva	104-10216-10398
Geneva	104-10227-10153
Geneva	104-10234-10115
Geneva	104-10247-10097
Geneva	104-10310-10020
Geneva	104-10322-10056
Geneva	104-10332-10009
Geneva	104-10332-10020
Geneva	104-10418-10439
Geneva	176-10036-10179
Geneva	177-10002-10098
Geneva, Switzerland	104-10107-10135
Geneva, Switzerland	104-10234-10096
Genoa	104-10100-10251
George Mason College	104-10114-10162
Georgetown	104-10007-10345
Georgetown	104-10009-10021
Georgetown	104-10012-10076
Georgetown	104-10070-10296
Georgetown	104-10071-10139
Georgetown	104-10178-10130
Georgetown	104-10178-10136
Georgetown	104-10209-10164
Georgetown	104-10322-10056
Georgetown	104-10418-10439
Georgetown	119-10021-10413
Georgetown	198-10004-10207
Georgetown	198-10005-10018
Georgetown	198-10007-10013
Georgetown	198-10007-10021
Georgetown	198-10008-10119
Georgetown University	104-10110-10433
Georgia	104-10290-10309
Georgia Avenue, Silver Spring, Maryland	104-10185-10244
Georgia Tech	104-10093-10109
Georgotowa	104-10186-10008
German ports	104-10308-10053
Germany	104-10005-10321
Germany	104-10014-10064
Germany	104-10023-10087
Germany	104-10061-10053
Germany	104-10070-10296
Germany	104-10106-10300
Germany	104-10123-10421
Germany	104-10132-10092
Germany	104-10133-10437
Germany	104-10169-10139
Germany	104-10171-10138
Germany	104-10172-10243
Germany	104-10172-10248
Germany	104-10177-10219
Germany	104-10179-10233
Germany	104-10209-10259
Germany	104-10213-10202
Germany	104-10213-10352
Germany	104-10226-10117
Germany	104-10234-10115
Germany	104-10300-10124
Germany	104-10418-10378
Germany	124-10325-10318
Germany	124-90092-10016
Germany	124-90137-10355
Germany	157-10002-10105
Germany	198-10005-10017
Gerona	104-10076-10371
Gettysburg	104-10306-10011
Ghana	104-10302-10030
Ghana	177-10002-10097
Ghana Embassy	104-10101-10239
Gia Dinh	176-10036-10097
Gia Long Palace	176-10036-10149
Ginsterweg 1, Bremen Munthe, West Germany	124-90137-10357
Ginza	104-10176-10020
Go Vap	176-10036-10087
Golfito	104-10177-10225
Gorkiy	104-10210-10020
Gran Cayman	198-10007-10022
Great Britain	104-10074-10007
Great Britain	124-10326-10098
Greece	104-10074-10007
Greece	104-10103-10079
Greece	104-10164-10088
Greece	104-10172-10112
Greece	104-10307-10024
Greece	124-10326-10098
Greece	124-90137-10067
Greece	176-10030-10422
Greece	176-10037-10120
Greece	177-10002-10101
Guadeloupe	104-10215-10128
Guadeloupe	104-10263-10111
Guadeloupe	198-10004-10207
Guadeloupe	198-10009-10098
Guanabacia	104-10290-10273
Guanabacoa	104-10070-10079
Guanabara	104-10100-10396
Guanabara	104-10529-10184
Guanabara	198-10007-10021
Guanabara	198-10008-10119
Guanabo	104-10103-10112
Guanabo	104-10193-10016
Guanabo Beach	104-10102-10237
Guantanamo	104-10179-10182
Guantanamo	104-10227-10150
Guantanamo	104-10232-10004
Guantanamo	104-10236-10056
Guantanamo	104-10275-10176
Guantanamo	104-10298-10095
Guantanamo	104-10302-10020
Guantanamo	104-10512-10110
Guantanamo	124-10326-10149
Guantanamo Bay	104-10165-10004
Guantanamo Bay	104-10173-10135
Guantanamo Bay	202-10002-10124
Guantanamo Bay, Cuba	124-10221-10231
Guantanamo Naval Base	104-10171-10047
Guantanamo Naval Base	104-10221-10222
Guantanamo Naval Base	178-10004-10054
Guantanamo Navy Base	104-10171-10044
Guarabacoa	104-10308-10054
Guat	104-10290-10168
Guatemala	104-10012-10076
Guatemala	104-10061-10053
Guatemala	104-10072-10001
Guatemala	104-10101-10124
Guatemala	104-10105-10277
Guatemala	104-10105-10293
Guatemala	104-10111-10094
Guatemala	104-10115-10074
Guatemala	104-10119-10040
Guatemala	104-10165-10084
Guatemala	104-10170-10145
Guatemala	104-10172-10107
Guatemala	104-10177-10225
Guatemala	104-10178-10334
Guatemala	104-10180-10042
Guatemala	104-10183-10259
Guatemala	104-10183-10260
Guatemala	104-10186-10037
Guatemala	104-10187-10103
Guatemala	104-10187-10208
