filename	title	document_type	classification	security_level	date	origin_agency	sender	recipient	summary
104-10093-10010	PBRIUMEN HTBASTE - Possible Defection of Cuban Delegation Member	Cable	Cuba	SECRET	1963-10-15	CIA	MEXICO CITY	DIRECTOR	Cable regarding L[TAMIL-3]'s encounter with Antonio de Souza Carbajal in New York and a possible defection offer.
104-10093-10065	104-10000-10065 2025 RELEASE UNDER THE PRESIDENT JOHN F. KENNEDY ASSASSINATION RECORDS ACT OF 1992	Cable	Cuba	SECRET	1963-10-23	CIA	MEXICO CITY	DIRECTOR	Cable from Mexico City regarding Benito Ruiz Gorilo, a former VP of Travel Caribbean Area and Cuban delegate to the ASTA convention in Mexico City. Request for traces and POA. Subject has access to internal and external travel info and claims valuable information stored in the National Post Office. He has also assisted anti-Castro persons by forging visas. He cooperated with the CIA in Havana in 1959 and appears cooperative now.
104-10093-10109	REQUEST TRACES AND POA JORGE ANTONIO ABASOLO GARCIA	Cable	Cuba	SECRET	1963-08-21	DUNECTOR	OM MEXICO CITY	DIR INFOWAVE MNTY	Cable regarding JORGE ANTONIO ABASOLO GARCIA, a Cuban industrial engineer, his connections to Ernesto "Che" Guevara, and potential defection. Also mentions his brother GUSTAVO ABASOLO and their correspondence through diplomatic channels.
104-10093-10266	MEXI 6761: Developments regarding subject's plans and communication channels	Cable	Mexico	SECRET	unknown	CIA	MEXICO CITY	WH 6	Cable discusses the subject's contact with Ernesto "Che" Guevara, motivation for leaving Cuba, pouch communication system, and instructions to influence the subject to stay in place with financial aid.
104-10093-10279	MEXI 6772: CARLOS CRUZ MORALES, PRESIDENTE FEDERACION UNIVERSITARIO DE SOCIEDADES ESTUDIANTILES (FUSA)	Cable	Mexico	SECRET	1963-11-12	CIA	MEXICO CITY	DIRECTOR	Cable from Mexico City regarding CARLOS CRUZ MORALES, PRESIDENTE FEDERACION UNIVERSITARIO DE SOCIEDADES ESTUDIANTILES (FUSA).
104-10095-10075	President John F. Kennedy Assassination Records Act of 1992 - Database Entries	List	Mexico	Unclassified	1992	CIA	N/A	N/A	This document contains entries from a database related to the President John F. Kennedy assassination records. Each entry includes a serial number, date, category, time, year, and name, along with a location.
104-10095-10161	Personnel Records for Covert Operations	Personnel Records	Operations	SECRET	1949-1971	CIA	Various senders within the CIA	Various recipients within the CIA	This document contains personnel records related to covert operations, support assets, and liaison activities, primarily focusing on Cuba and Soviet targets, with names, dates, and locations.
104-10095-10276	Summary of STESCALADE - Audio Operation Against the New China News Agency in Havana	Memorandum	Cuba	SECRET	1960-09-20	Central Intelligence Agency	Rudolph E. Gomez, Acting Chief, WH	Director of Central Intelligence	This memorandum details an audio operation, STESCALADE, against the New China News Agency in Havana. It covers the installation of surveillance equipment, the apprehension of technicians by Cuban authorities, and subsequent actions taken by the Agency.
104-10097-10069	MISS NORMA VALVERDE VARIG FLT CANCELLED AT MEXICO CITY	Cable	Mexico	SECRET	1963-12-07	CIA	MEXICO CITY	DIRECTOR	This cable discusses Miss Norma Valverde's flight cancellation and subsequent travel arrangements via Aerolineas Panama. It includes routing information and dissemination restrictions.
104-10097-10077	REQUEST PRITY POA TO INCLUDE COMMO TRAINING FOR MARTA (VALDES) IERNANDEZ	Cable	Cuba	SECRET	1963-12-09	LOVECEN C	HEXI 7300	DIR ILFO	This cable requests training for Marta (Valdes) Iernandez, an employee of the Ministry of Health and Welfare in Havana, who recently completed studies in Mexico under the World Health Organization. No traces were found in Mexico.
104-10097-10170	Cables Regarding Letter Drop and Jerzy Plebanski's Travel to Dallas	Cable	Mexico	SECRET	Unknown	Unknown	Mexico City	Director	Two cables from Mexico City. The first discusses letters addressed to Angel Guadalupe Rivera and a request for a letter drop FORTI CRYSTAL-1. The second cable mentions Jerzy Plebanski attending a symposium in Dallas on gravitational collapse and related topics. It also references MEXI 7218 and PBSWING as a source. A review of Gobernacion file reveals Plebanski granted permission to leave Mexico for conferences in the U.S.
104-10097-10360	KAPOK PERUMEN	Cable	Cuba	SECRET	2025	DIRECTOR	DIRECTOR	C/WH.5	This cable discusses a potential asset (SUBJ) who has access to significant plans and activities within the Ministry of Industries and is frequently consulted by Ernesto "Che" Guevara. The asset is considered a highly qualified engineer and could provide valuable information. The cable also mentions the need for secure communication channels and cautions against using the asset for contact with individuals trusted by Guevara but not by the agency.
104-10098-10072	LIENVOY-8	Dispatch	Administrative	SECRET	1963-10-31	WN Division	Chief, WN Division	Chief of Station, Mexico City	This dispatch concerns LIENVOY-8, a source who caused a security problem in 1960. Headquarters requests an update on his current status and reliability, including whether he has been terminated or is still being used.
104-10098-10264	FEQ Part I - Alfonso Dibtido Torres	Dispatch	Operations	SECRET	1963-11-13	CIA	Chief of Station, Mexico City	Chief, WE Division	This dispatch concerns Alfonso Dibtido Torres and requests Provisional Operational Approval along with a 201 number. It also mentions that the Subject's cryptonym, assigned 15 October 1965 by the Station, follows under separate cover.
104-10098-10328	MEXI 7416	Cable	Mexico	SECRET	1963-12-17	CIA	Director	TEGU	This cable discusses a request from [S/] for 190 dollars in view of his wife's visit to Mexico City for Christmas. It also mentions [S/]'s living situation, his connection to a PCM member named Eliodorina Garcia, and upcoming meetings.
104-10098-10380	MEXI 7458: WELCOME HOS C/O. PLS PROVIDE IDEN AND ETA SO CAM HEET AIRPORT.	Cable	Mexico	SECRET	1963-12-20	CIA	Mexico City	Director	This cable from Mexico City to the Director discusses the arrival of a staffer, identified as Richardson, and requests their identification and estimated time of arrival (ETA) for airport pickup.
104-10098-10391	MEXI 7479	Cable	Mexico	SECRET	2022-05-20	Unspecified	CHET	EE 6, C1/CA, CCS 3	This document is a classified message from MEXICO CITY, referencing individuals AR. GEORGE STEENS and operations related to CADALETRACE, CKASSAY, and LPSHRINK. It includes identifiers MEXI 7479 and MEXI 7403 (IN 85185).
104-10098-10401	EFFORTS OF CUBAN GOVERNMENT TO INITIATE COMMERCIAL BARTER WITH WEST EUROPEAN COUNTRIES	Telegram Information Report	Cuba	SECRET	1963-12-20	Central Intelligence Agency	MEXICO CITY	DIRECTOR	Cuban government efforts to initiate commercial barter with Western European countries, including negotiations for debt payments and offers to sell tobacco at discount prices. Cuba seeks fertilizer, transportation, and chemical products in exchange for sugar, anticipating a bumper crop in 1964.
104-10098-10404	Classified Message on Soviet Presence and Cuban Military Activities	Message	Cuba	SECRET	1962-12-24	CIA	NICO CITY	DIRECTOR	This document contains information regarding Soviet technicians in Cuba, Cuban military activities, and the general attitude towards the Soviet presence.
104-10100-10034	Discontinuation of Intensive Search for ZRPRIMA Candidates	Cable	Cuba	SECRET	1963-11-21	CIA Director	Director	Various CIA Stations and Bases	This cable discusses the conclusion of a review of the ZRPRIMA program, which aimed to recruit Cuban technicians. The review found the program unsuccessful due to various factors, including the Cuban government's lack of enthusiasm and bureaucratic issues. The cable advises stations to discontinue intensive searches for ZRPRIMA candidates but remain alert for opportunities to place agents in Cuba.
104-10100-10065	104-10100-10065: KUDESK ZROCKAN 5974	Cable	Mexico	SECRET	1963-03-02	CIA	DIRECTOR	MEXICO CITY	Cable regarding RUPEK DUDIN and ARLETTE FRANCOISE HEZARIFEND.
104-10100-10086	DESIGNET Travel to PERUMEN; Contact Arrangements in Mexico City	Cable	Operations	SECRET	1963-09-30	CIA	DIRECTOR	MEXICO-ROME HAVE	Cable discussing the travel plans of DESIGNET, a former long-term resident of PERUMEN, who will be traveling on business. The cable outlines contact arrangements in Mexico City and provides details about DESIGNET's itinerary, including planned visits to Switzerland and Madrid before arriving in PERUMEN.
104-10100-10087	DIR 72347: IDEN A [GIULIO MONDELLO] AND IDEN B [NERIOLO (LINOTYPE) FIRM, TURIN]	Cable	Mexico	SECRET	1963-09-30	CIA	DIRECTOR	MEXICO ROME	Cable discussing individuals IDEN A [GIULIO MONDELLO] and IDEN B [NERIOLO (LINOTYPE) FIRM, TURIN] and their connections to Cuba and Italy.
104-10100-10090	MEXICO CITY 1 OCT 452	Cable	Mexico	SECRET	1963-10-01	DIA	JESIAVE	DIRECTOR	This cable discusses JOSE LUIS (ZALA) and his possible connection to 201-338838, who is registered with AFOZEER Service.
104-10100-10152	104-10100-10152 2025 RELEASE UNDER THE PRESIDENT JOHN F. KENNEDY ASSASSINATION RECORDS ACT OF 1992	Record	John F. Kennedy Assassination Records Act	Unclassified	1963-10-08		C/CA/DS	CIA	This document contains information related to Manuel Aragon, CA/35, and PARIS/L/PIPIT. It also mentions MEDURIC EXPITODE and IDSA A (ALFONSO BIBILIOX) FRADIOMERE OLE. The document includes references to DELTASINS OFFICES and COORDINATION OFFICERS, and indicates a return to CIA for background use only.
104-10100-10157	DIR 14184 TYPIC AMLONG	Cable	Mexico	SECRET	1963-10-08	CIA		PRITY MEXI	This cable discusses an individual named Alfredo Davins and refers to TYPIC AMLONG and RONIS.
104-10100-10185	Letter to AMSOUR-2 Being Pouched MEXI	Cable	Mexico	SECRET	1963-11-01	SIG CEN	HUS	DIR	Cable discusses pouching a letter to AMSOUR-2 via Mexico for mailing to Juan Gomez Blanco in Peru.
104-10100-10192	HURRICANE FLORA DAMAGE TO CUBA AND SABOTAGE OPS	Cable	Cuba	SECRET	1963-10-11	CIA	DIRECTOR	HAMBURG, FRANKFURT, HAGUE, MADRID, PARIS, LONGI	This cable discusses the impact of Hurricane Flora on Cuba and its potential effect on sabotage operations against Cuban shipping. It instructs a temporary halt to these operations to reassess the situation.
104-10100-10199	Director cable regarding Liang Szu Ch'Eng and contact establishment	Classified Message	Mexico	SECRET	1963-10-12	CIA	DIRECTOR	MEXICO CEY	This document discusses Liang Szu Ch'eng, a member of the CCP, and plans to establish contact with him through BEFLATE 1. It details BEFLATE 1's arrival in Mexico and instructions for contacting him.
104-10100-10200	CLASSIFIED MESSAGE	Cable	Mexico	CLASSIFIED	1964-02-06	CI	MEXI	DEPARTMENT INTERNATIONAL RELATIONS	This cable discusses information related to Richard Walker, University of South Carolina, and mentions individuals such as Lloyd George and Steve Kisha.
104-10100-10223	Chicom Delegation in Mexico and Rio de Janeiro	Cable	Mexico	SECRET	1963-10-16	Director	DIRECTOR	RIOD, MEXI	This cable discusses a group of Chinese architects traveling from Mexico to Rio de Janeiro and efforts to assess and potentially debrief or defect members of the group. It details contacts made with Yang Ting-Pao and Liang Szu-Cheng, and mentions an upcoming meeting between Wu Ching-Hsiang and his U.S. citizen brother.
104-10100-10237	WH/LOG 7282: Cartridge Delivery to Corpus Christi	Cable	Mexico	SECRET	1963-10-16	WH/LOG	WILLIAM E. BROOKS, CHIEF, WH SUPPORT	DIRECTOR	This document discusses the delivery of cartridges to Corpus Christi on October 1st, with a cargo reference number. It also requests advice on a related matter (Rean 559-5-64).
104-10100-10239	MEXICO JMWAVE	Cable	Mexico	SECRET	1963-10-18	CIA	SAS/BOB	C/OPO, CI/PA, FI, NE 4, WH	Cable regarding Michel Chidiac, Lebanese Charge in Havana, and his recent travel.
104-10100-10247	104-10100-10247 RELEASE UNDER THE PRESIDENT JOHN F. KENNEDY ASSASSINATION RECORDS ACT OF 1992	Cable	Mexico	Unclassified	1963-10-21	CIA	WH/3/Mexico	Station	Cable regarding Ash & Company and Overseas Riralty Survey Associates in Mexico City.
104-10100-10251	Castro Reveals Alleged CIA Sabotage Attempt	Cable	Cuba	SECRET	1962-10-22	CIA	C/SAS	Director	Cable discusses Castro's claim that the CIA attempted to sabotage a Cuban merchant ship in Genoa, Italy, with a defective bomb.
104-10100-10319	RYBAT	Cable	Mexico	SECRET	1963-10-30	CIA	ACVI/3	ICO CITY	Cable discusses HDOS's efforts to impact Hotels Internacional and the possibility of PASSON AB PUEREL becoming a director for Mexico and Central America. It also mentions a search for suitable GRICA to fill a cover post.
104-10100-10357	Message to ANQUAR 1 regarding contact with Matthew E. Ontrich	Cable	Operations	SECRET	1963-11-16	CIA	SAB/EOD	ANQUAR 1	This cable relays instructions to ANQUAR 1 regarding contact with "David Baas" (Matthew E. Ontrich), arranging a leave of absence, establishing contact with Luis Casas Campa, and providing a secure communication channel.
104-10100-10394	BRIDA MEXICO CITY	Cable	Mexico	UNCLASSIFIED	1963-11-06	SAS/BOB	C/VED, AC/WB/3	CEF, ADDP, C/CI, C/SAS S, VR Y	This cable discusses ODCOIL Mexico taking the lead on Milton Lywn, avoiding KUBARK involvement. It also mentions Ernesto Abreu Gomez as a target for PERUKEN operations and informal discussions with him on the Lynn case. The cable also references a U.S. citizen LINK who told Merida police chief of a drugs case and Merida's desire to develop Chief ABRES for PEROMEN ops.
104-10100-10396	Funding for Guanabara Chemical Workers Federation Elections	Cable	Operations	Unclassified	1963-02-06	CIA	MEXICO CITY, DOLORS CITY, AND WE INDICATED	DIRECTOR	Cable discusses funding for labor elections in Guanabara and potential conflict among democratic groups.
104-10100-10411	RE PARA THREE & REF A LAQUEL PEDROSA BE LEIVA	Cable	Cuba	UNCLASSIFIED	3/20/1963	CIA	AC/BAB/CI	SAS/SOB	This cable discusses Pedroga as a possible lead to Eryva. It mentions Pedroga's connection to Lifanil, her possible identity as the wife of Xio Layva Fuentes, and her potential as a recruitment/defection target. It also notes negative traces on Pedroga and requests further action.
104-10100-10419	Office Hours and Monitoring Instructions	Cable	Administrative	UNCLASSIFIED	2025	Unknown	Unknown	Various Stations	This document pertains to office hours and monitoring frequencies for various stations, with the approval of the Chief Mission and COS. It includes instructions for stations with and without SELCAL monitors, and mentions residence capability during a closure period.
104-10100-10424	Frank Pilgrin, Manchester Guardian, Cuban Anniversary Celebrations	Cable	Cuba	SECRET	1963-01-01	SBC	EMOTH	KUBARK	Journalist Frank Pilgrin of the Manchester Guardian plans to attend Cuban anniversary celebrations. PLAFS to leave Cuba first week of January via Cubana to Mexico. EMOTH has requested KUBARK not attempt contact. KUBARK will receive debriefing results, if any, from SEOTH.
104-10101-10054	BONE PRIORITY 136022	Cable	Mexico	UNCLASSIFIED	2025	CIA	Station	DEVISTA-1	This document discusses potential contacts in SALY (likely a code name for a location) and DEVISTA-1 (possibly an individual or operation). It instructs the station to pass specific names to DEVISTA-1 if PCI doesn't provide contacts in SALY. Mentions possible communist connections.
104-10101-10109	MEXICO CITY - Information on Individuals	Dispatch	Mexico	UNCLASSIFIED	2025	CIA	DESMOND FITZGERALD	G.L.	This document lists three individuals: FERNANDO PALENZUKIA VAQUET, MARIA FRANCISCA CRESPO FALCON, and HOWARD ANDERSON, along with their personal information such as date and place of birth, physical attributes, passport number, and address. The document also mentions operational details and codes.
104-10101-10124	Cable Regarding GRACE HOLMES	Cable	Mexico	SECRET	1963-12-02	COSAS	DIRECTOR	MEXI, BOGO, LIMA, GUAT, WAVE	Cable discusses GRACE HOLMES and references Mexico City, Bogota, Lima, and Guatemala.
104-10101-10129	104-10101-10129 2025 RELEASE UNDER THE PRESIDENT JOHN F. KENNEDY ASSASSINATION RECORDS ACT OF 1992	Cable	John F. Kennedy Assassination Records Act of 1992	CONF	2025	CIA	STUAR	DIRECTOR	This cable discusses IMA NR. KANSAHI WATANABE and KENNETH K. SUZUKI of Trans Pacific Commerce Consultants.
104-10101-10134	Regarding Latin American Study Seminar tactics.	Cable	Mexico	SECRET	1963-12-05	DIRECTOR	DIRECTOR	PARIS/LCPIPTI	This cable discusses the Latin American Study Seminar (LASS) tactics and the possibility of holding the seminar at an unfriendly site. It also outlines conditions for inviting LASS and potential issues to consider.
104-10101-10135	Identities of Donald Emerson and Raul Avila	Cable	Mexico	SECRET	1963-12-05	CIA	DIRECTOR	PARIS/LOFTMEXICO CITY	Cable discusses identities of Donald Emerson and Raul Avila, both secretaries in COSSC and COSEC respectively. Mentions HERPITONE.
104-10101-10175	Instructions for Anti-Castro Activities	Cable	Cuba	CONF	2025	DIR	DIRECTOR	MONT GUAT BOGO SDOM	This cable outlines suggested activities to influence public opinion and local governments in favor of a firm stance against Castro's regime, emphasizing the issue before the OAS, the theme of 'no coexistence with Castro,' and the portrayal of Cuba as an exporter of crime rather than revolution.
104-10101-10198	MEXI	Cable	Mexico	SECRET	2025-MM-DD	Director	Director	Unknown	This cable discusses potential meetings with CTBAN, LIFEAT coverage, tracing subjects, renewing post boxes, and sending a telegram to Manuel Vega y Socio.
104-10101-10215	CHKIST BIRTHDAY CELEBRATION SURVEILLANCE	Cable	Soviet	SECRET	1963-12-18	DIRECTOR	DIRECTOR	ALL COS, &COB	This cable discusses KGB residencies celebrating the anniversary of the Soviet State Security Organization and suggests surveillance and liaison services.
104-10101-10227	DIR 89778: Evidence of Castro Financing	Cable	Cuba	CONFIDENTIAL	1963-12-17	Director	DIRECTOR	PRIORITY ROME	This cable discusses surfacing evidence of Castro's financing of terrorist and pro-Cuban acts.
104-10101-10239	Student Protests in Moscow over Alleged Killing of Ghanaian Student	Cable	Soviet	SECRET	1963-12-19	Director	DIRECTOR	DIR	Cable discusses the reaction to the alleged killing of a Ghanaian student in Moscow and suggests using the incident to highlight racist attitudes in the Soviet Union and to undermine Soviet influence in Africa.
104-10101-10247	MEXICO CITY	Cable	Mexico	ROUTINE	1963-12-19	CIA	DIR	HQS	This cable discusses the completion of SAMBORA LEGEND and the application for a Mexican visitor's visa by SUBJECT HMM 12212.
104-10101-10256	Message Regarding PETRY and OTTA Activities	Cable	Operations	SECRET	1963	CIA	Unknown	Unknown	This document discusses the activities of PETRY and OTTA, including their assigned routing indicators and handling of KUBARK traffic. It also mentions the handling procedures and authentication protocols.
104-10102-10224	Operational Plan for Continuing Operations Against Cuba	Memorandum	Cuba	SECRET	1962-11-27	CIA	William K. Harvey, Chief, Task Force W	Director of Central Intelligence	Operational plan for continuing operations against Cuba, including intelligence gathering, potential actions to weaken the Castro regime, economic warfare, and political and psychological warfare.
104-10102-10233	SMEDIFY Information Concerning Tad SZULC (201-050539)	Dispatch	Personnel	SECRET/NOFORN	1962-06-20	Central Intelligence Agency (CIA)	Chief of Station, Rio de Janeiro	Chief, WHD; Chief, EE	This dispatch concerns SMEDIFY information regarding Tad SZULC (201-050539) and includes information on Ignacy SACHS, a cousin of SZULC who worked for the Polish Embassy.
104-10102-10237	Operational/TYPIC/AMTRUNK Project AMTRUNK Operational Review	Dispatch	Operations	SECRET	1963-04-15	JMWAVE Station	Chief of Station, JMWAVE	Chief, Special Affairs Staff	Operational review and progress report on Project AMTRUNK, including strengths, weaknesses, and recommendations for continuation or termination.
104-10103-10038	Howard Hunt	Memorandum	Administrative	SECRET	1974-02-27	Office of Finance	Director of Finance	Inspector General	The Director of Finance reports on a search of records to determine if any payment was made to Howard Hunt for approximately $30,000 that required no accounting. The office searched expense runs, Madrid Station, JMWAVE, and FR/Washington Office accountings, Mr. Hunt's travel claims, and Mr. Hunt's advance account. No operational expenditures were found except for $1,600 approved for write-off by Desmond Fitzgerald without further accounting.
104-10103-10079	Operational Plan for Continuing Operations Against Cuba	Memorandum	Cuba	SECRET	1962-11-27	CIA	William K. Harvey, Chief, Task Force W	Director of Central Intelligence (DCI)	Draft Memorandum to the DCI from William Harvey, dated 27 November 1962, outlining an operational plan for continuing operations against Cuba.
104-10103-10103	SMEDIFY Information Concerning Tadeusz SZULC	Dispatch	Operations	SECRET	1962-06-20	CIA	Chief, WHD; Chief, EE	Chief of Station, Rio de Janeiro	This dispatch discusses Tadeusz SZULC, including information from SMEDICEVA's traces and Ignacy SACHS's activities. It details SZULC's past pro-communist activities, his relationship with SACHS, and his efforts to gain employment in American press circles. The document also includes information on SACHS's roles and activities, as well as SZULC's contacts and reports to the Polish Legation.
104-10103-10112	Project AMTRUNK Operational Review	Dispatch	Operations	SECRET	1963-03-31	JMWAVE Station	Chief of Station, JMWAVE	Chief, Special Affairs Staff; Chief of Station, JMWAVE	This dispatch outlines an operational review and progress report on Project AMTRUNK, a covert operation aimed at overthrowing the Cuban government. It details the strengths and weaknesses of the operation, including concerns about agent control, security risks, and potential conflicts with other operations. The JMWAVE Station recommends termination of the project, pending Headquarters' decision.
104-10104-10094	Estimate of Damage Which Could Accrue to CIA Miami Through Prosecution of the Rolando Masferrer Haitian Invasion Group	Memorandum	Cuba	Unclassified	1967-02-24	CIA	Unknown	Unknown	This memo discusses the potential damage to CIA Miami from the prosecution of the Rolando Masferrer Haitian invasion group. It highlights risks from publicity, potential actions by the University of Miami, and the possibility of the defense involving CIA Miami in the case.
104-10104-10172	Contact Report - IDEN A	Dispatch	Operations	SECRET	1965-05-19	JMWAVE	Chief of Station, JMWAVE	Chief, WH	This dispatch from the Chief of Station, JMWAVE, concerns IDEN A (Alfred J. Moran), a wealthy New Orleans businessman used by JMWAVE for cover operations and funding. It details his involvement with YOCOUGH, other JMWAVE assets, and requests a 201 number be assigned to him.
104-10104-10262	Memorandum on James Garrison's Activities	Memorandum	Liaison	SECRET	1967-12-20	EURBC	E/BC	Office of General Counsel	MI-5 has provided information on Jim Garrison's activities to the FBI via a report on Americans in correspondence with the Bertrand Russell Peace Foundation. The foundation appears to be trying to persuade Garrison to write an article about the Kennedy assassination.
104-10104-10271	JMWAVE COVER FACILITY	Report	Operations	SECRET	1967-03-06	JMWAVE	Unknown	Unknown	This document describes two JMWAVE cover facilities: Ace Marine Survey, Inc. and Ceres Enterprises, Inc. Ace Marine Survey is used to provide cover for a maritime vessel, the M/V SONORA. Ceres Enterprises provided cover for maritime vessels, the M/V BARB and the M/V JADE, but was deactivated due to a security breach.
104-10105-10271	Manuscript and Galley Proof of Undercover: Memoirs of an American Agent by E. Howard Hunt	Memorandum	Administrative	CONFIDENTIAL	1974-09-19	CIA	Seymour R. Bolten	John Morrison	This memorandum outlines proposed security deletions and revisions to E. Howard Hunt's manuscript, "Undercover: Memoirs of an American Agent." It identifies specific passages that could compromise classified information, sources, methods, or liaison relationships, recommending their deletion or revision.
104-10105-10277	Meeting with E. Howard Hunt Re His Memoirs, "Undercover"	Memorandum	Administrative	SECRET	1974-09-30	CIA	John D. Morrison, Jr., Acting General Counsel	Acting DDO, SAB/DDO, DC/CI Staff, O/Security, Asst. to DCI, Mr. Walter Pforzheimer, C/CCS	This memorandum details a meeting between CIA representatives and E. Howard Hunt regarding his memoirs, 'Undercover.' The meeting focused on reviewing the manuscript for classified information and potentially sensitive content. Agreed changes were made to several items, and other concerns were discussed with Hunt and his lawyers.
104-10105-10290 (C06932214)	Mr. E. Howard Hunt Alias Birth Certificate	Memorandum	JFK Assassination	SECRET	1973-11-02	CIA	Chief, Cover & Commercial Staff	Acting General Counsel	This document discusses Mr. E. Howard Hunt's alias birth certificate and related matters.
104-10105-10290	Personnel List	List	Personnel	UNCLASSIFIED			John F. Kennedy Assassination Records Act	Various	This document contains lists of names and associated numbers, potentially related to personnel or contact information.
104-10105-10293	Meeting with E. Howard Hunt Re His Memoirs, "Undercover"	Memorandum	Administrative	SECRET	1974-09-30	CIA	John D. Morrison, Jr., Acting General Counsel	Acting DDO	Memorandum for the record regarding a meeting with E. Howard Hunt concerning his memoirs, 'Undercover'. The meeting involved discussions and agreed-upon changes to classified and unclassified items in the manuscript, including those related to a fabricated Shanghai post, the Guatemalan Embassy in Mexico City, and a CIA-Uruguayan telephone monitoring operation.
104-10106-10300	Yurily Ivanovich NOSENKO	Memorandum	Personnel	SECRET	1964-04-03	CIA	General Counsel	Director of Security	This document contains information about Yurily Ivanovich NOSENKO, a Soviet KGB officer who defected in 1964. It details his identification, background, approval for confinement, results of the case, termination status, and comments regarding his confinement and activities.
104-10106-10312	Yurily Ivanovich NOSENKO	Report	Security	SECRET	1964-1969		Director of Security	DDCI	This document summarizes the case of Yurily Ivanovich NOSENKO, a Soviet KGB officer who defected in 1964 and was subsequently involuntarily confined in the U.S. by the Agency. It details his identification, background, approval for confinement, results of the case, termination status, comments, and file locations.
104-10106-10325	Herbert Itkin File	Memorandum	Administrative	SECRET	1977-11-01	CIA	William H. Godson, CI/R&A/O	Chief, Counterintelligence Staff	This document pertains to the Herbert Itkin file, focusing on his involvement as an informant and the subsequent legal and security implications for the CIA, particularly concerning agent Bernard E. MONCURE. It also touches on Itkin's connections with Mafia syndicates and labor unions and his efforts to involve CIA in a custody battle.
104-10106-10547	HARVEY, WILLIAM K.	Memo	Security	CONFIDENTIAL	1963-04-10	Security Division, Federal Aviation Agency	Nicholas R. Zubon, Chief, Building Security Branch, Office of Security	Mr. Charles F. Niles	This memo from the CIA Security Division to the Federal Aviation Agency requests that the FAA files reflect that William K. Harvey, an employee of the CIA, was issued FAA Credential Number 4883 on January 2, 1963. The memo authorizes the release of this information to verify the credential's authenticity.
104-10106-10716	SCHLUMBERGER WELL SURVEYING CORPORATION	Memorandum	Security	Unclassified	1967-12-12	CIA	N/A	N/A	This memo discusses Schlumberger Well Surveying Corporation and its connections to individuals and entities of interest to the CIA and FBI. It addresses allegations of CIA involvement in the Houma munitions bunker burglary and provides information on various Schlumberger employees and their associations, including potential Soviet contacts and security concerns.
104-10107-10085	The Itkin Case	Memorandum	Personnel	Unclassified	1969-02-05		Chief, CCS/GLOBE	Office of the General Counsel	This memorandum discusses the relationship between Thomas Lee Roberts and Itkin, specifically regarding a proposal from the Conestoga Group and Roberts' financial involvement with a law firm.
104-10107-10087	MEMORANDUM FOR THE RECORD	Memorandum	Administrative	Background Use Only	1969-03-04		LAWRENCE R. HOUSTON, General Counsel	THE RECORD	Memorandum regarding the identification of 'T' and 'H' mentioned in a 1955 memorandum. 'T' is identified as Juan Trippe and 'H' as General Hardin, who was being placed with Pan Am for operational reasons. The document also clarifies that General Hardin is not synonymous with Philip Harbin.
104-10107-10089	MR. HERBERT ITKIN	TELEPOUCH	Liaison	SECRET	1973-11-16	CIA	CHIEF, EAST ASIA DIVISION	CHIEF OF BASE, MELBOURNE; CHIEF OF STATION, CANBERRA	This document discusses a request from Australian Justice A.R. Moffitt for information on Herbert Itkin, whom he described as a former CIA and FBI employee, in relation to an inquiry into organized crime. The CIA's Office of General Counsel (OGC) provided Moffitt with copies of three affidavits relevant to Itkin's affiliation with the CIA, stating that Itkin furnished information to the CIA over many years but did not collect information for them in England.
104-10107-10135	Herbert Itkin	Memorandum	Security	Unclassified	1969-01-31	CIA	John K. Greaney, Assistant General Counsel	C/CI/R&A	This memorandum discusses the ramifications of a confrontation with the New York FBI office regarding Herbert Itkin and seeks additional information on Thomas L. Roberts and Robert Delson. It covers Roberts' affiliations with the FBI, CIA, and Itkin, including his operational use by the CIA and his contacts with Itkin in Geneva. The memo also addresses potential legal issues for Roberts and Delson, including possible prosecution and concerns about their affiliations.
104-10107-10137	MEMORANDUM FOR THE RECORD SUBJECT: Herbert Itkin	Memorandum	Administrative	SECRET	1969-01-31	CIA	JOHN K. GREANEY, Assistant General Counsel	FOR THE RECORD	This memorandum discusses a meeting held to discuss the ramifications of a confrontation with the New York FBI office regarding Herbert Itkin. It also discusses Thomas L. Roberts' affiliation with the FBI, CIA, and Itkin, as well as Robert Delson's potential use in Projects DTPILLAR and WUBRINY.
104-10107-10180	Request for Services of Collins Modem Field Service Engineer	Memorandum	Administrative	Unclassified	1967-02-01	Office of Communications	John W. Coffey, Director of Communications	Director of Logistics	This memorandum requests the services of a Collins Modem Field Service Engineer to assist with the installation and testing of two Collins Radio Company Model TE-216D-160 High Frequency Data Modems. The Office of Communications intends to test the feasibility of transmitting Secure (encrypted) Voice over a narrow band, high frequency, radio circuit and determine their suitability for high speed data transmission.
104-10108-10026	Request for Photo of 'Bums in Police Custody'	Memo	Commission	UNCLASSIFIED	1964-03-24		Salked	DCI	Memo regarding a request for a photo of 'bums in police custody' related to the assassination. Discusses contacting Newsweek through various channels to obtain the photo, but notes difficulties due to lack of credit and lack of plausible reason for a 'State' person to request it.
104-10110-10095	TRAVEL BRIEFING DATA	Travel Briefing Data	Administrative	ADMINISTRATIVE - INTERNAL USE ONLY	1974-06-30	WH	SECURITY OFFICER	N/A	Travel briefing data for Charlotte Bustos-Videla, departing June 30, 1974, to Trinidad. Includes security and travel precautions.
